City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tsiombe,-25.3,45.4833,17.52,80,0,2.01,MG,1714966424
1,badger,64.8,-147.5333,14.95,38,100,6.69,US,1714966424
2,isafjordur,66.0755,-23.124,0.79,80,8,5.08,IS,1714966424
3,la passe,45.5549,-0.8967,12.77,86,44,5.63,FR,1714966424
4,edinburgh of the seven seas,-37.0676,-12.3116,13.74,64,86,14.0,SH,1714966424
5,albany,42.6001,-73.9662,11.56,84,100,1.67,US,1714966241
6,anadyr,64.75,177.4833,-1.72,69,0,3.0,RU,1714966425
7,waitangi,-43.9535,-176.5597,13.79,82,67,2.24,NZ,1714966425
8,haiku-pauwela,20.9219,-156.3051,26.23,66,20,9.26,US,1714966400
9,port-aux-francais,-49.35,70.2167,6.15,83,89,11.93,TF,1714966425
10,saynshand,44.8824,110.1163,20.39,14,1,4.14,MN,1714966425
11,port saint john's,-31.6229,29.5448,20.65,44,0,3.65,ZA,1714966425
12,ceerigaabo,10.6162,47.368,19.87,74,67,0.93,SO,1714966425
13,whitehorse,60.7161,-135.0538,6.56,87,100,5.66,CA,1714966425
14,ust-nera,64.5667,143.2,3.56,73,96,1.81,RU,1714966425
15,adamstown,-25.066,-130.1015,21.72,69,62,9.41,PN,1714966425
16,sayat,38.7839,63.8803,21.93,38,54,4.34,TM,1714966426
17,grytviken,-54.2811,-36.5092,1.95,84,37,2.73,GS,1714966426
18,luderitz,-26.6481,15.1594,15.06,69,0,2.37,NA,1714966426
19,bredasdorp,-34.5322,20.0403,11.86,60,94,3.22,ZA,1714966426
20,olinda,-8.0089,-34.8553,28.85,74,40,5.14,BR,1714966206
21,eyl,7.9803,49.8164,28.34,77,100,2.18,SO,1714966426
22,ushuaia,-54.8,-68.3,2.81,93,100,5.14,AR,1714966276
23,wailua homesteads,22.0669,-159.378,27.24,79,40,8.75,US,1714966400
24,arraial do cabo,-22.9661,-42.0278,24.21,89,77,9.21,BR,1714966426
25,bobrov,51.0961,40.0333,9.54,83,85,2.2,RU,1714966426
26,itoman,26.1247,127.6694,30.43,79,75,6.69,JP,1714966427
27,upington,-28.4478,21.2561,19.21,30,0,4.12,ZA,1714966427
28,port alfred,-33.5906,26.891,22.36,39,21,5.28,ZA,1714966427
29,portland,45.5234,-122.6762,11.02,87,100,3.09,US,1714966133
30,bethel,41.3712,-73.414,10.76,89,100,0.45,US,1714966427
31,noosa heads,-26.3833,153.15,24.08,72,34,7.12,AU,1714966427
32,port sudan,19.6175,37.2164,28.07,38,0,1.07,SD,1714966427
33,bemidji,47.4736,-94.8803,12.32,50,0,3.09,US,1714966255
34,shevchenko,48.5,35.0,11.99,58,58,5.09,UA,1714966427
35,dosso,13.049,3.1937,31.63,43,0,3.59,NE,1714966427
36,crane,31.3974,-102.3501,22.34,78,4,6.09,US,1714966427
37,karagandy,49.8019,73.1021,4.97,44,85,1.49,KZ,1714966428
38,happy valley-goose bay,53.3168,-60.3315,12.17,54,75,6.17,CA,1714966428
39,afaahiti,-17.75,-149.2833,28.93,87,47,9.62,PF,1714966428
40,pauini,-7.7136,-66.9764,24.33,91,41,0.49,BR,1714966428
41,vorgashor,67.5833,63.95,-12.57,94,100,1.5,RU,1714966428
42,novodvinsk,64.4165,40.8122,-1.14,86,63,3.6,RU,1714966428
43,hithadhoo,-0.6,73.0833,29.77,75,33,4.81,MV,1714966428
44,puerto natales,-51.7236,-72.4875,-1.97,87,71,1.66,CL,1714966248
45,dawei,14.0833,98.2,34.21,52,10,4.57,MM,1714966428
46,vredendal,-31.6683,18.5012,9.71,78,0,0.18,ZA,1714966428
47,nova vicosa,-17.8919,-39.3719,24.42,89,3,1.98,BR,1714966429
48,harstad,68.799,16.5293,1.25,84,6,9.39,NO,1714966429
49,keflavik,64.0049,-22.5624,3.95,93,40,4.63,IS,1714966429
50,praia da vitoria,38.7333,-27.0667,18.14,100,75,7.97,PT,1714966429
51,bilibino,68.0546,166.4372,0.47,77,11,1.01,RU,1714966429
52,kalmunai,7.4167,81.8167,31.71,67,58,2.81,LK,1714966429
53,sassandra,4.95,-6.0833,26.32,87,79,1.37,CI,1714966429
54,papatowai,-46.5619,169.4708,8.26,60,70,5.54,NZ,1714966429
55,chul'man,56.8479,124.9104,7.38,73,3,1.79,RU,1714966429
56,uturoa,-16.7333,-151.4333,28.02,80,7,8.84,PF,1714966429
57,isla del bosque,22.7333,-105.85,22.96,74,100,0.71,MX,1714966430
58,kas,36.2018,29.6377,16.68,49,0,2.5,TR,1714966430
59,axim,4.8699,-2.2405,27.3,85,73,2.15,GH,1714966430
60,makassar,-5.14,119.4221,30.03,84,20,1.54,ID,1714966204
61,puerto ayora,-0.7393,-90.3518,23.08,97,48,0.89,EC,1714966430
62,dakhla,23.6848,-15.958,17.98,82,5,7.95,EH,1714966430
